"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 10:22:45 GMT 2024","Tue Jan 02 10:22:57 GMT 2024","12602","","Recherche d'appartement sur le site Foncia","","","","Recherche d'un appartement à louer à Paris avec un loyer MAX ""1500""€",""
"passed","Tue Jan 02 10:22:34 GMT 2024","Tue Jan 02 10:22:44 GMT 2024","10486","","Recherche d'appartement sur le site Foncia","","","","Vérification des éléments de la page d'accueil",""
