"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 10:40:33 GMT 2024","Tue Jan 02 10:40:47 GMT 2024","13831","","Recherche d'appartement sur le site Foncia","","","","Recherche d'un appartement à louer à Paris avec un loyer MAX ""1500""€",""
"passed","Tue Jan 02 10:40:21 GMT 2024","Tue Jan 02 10:40:33 GMT 2024","11943","","Recherche d'appartement sur le site Foncia","","","","Vérification des éléments de la page d'accueil",""
