"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 09:43:42 GMT 2024","Tue Jan 02 09:43:54 GMT 2024","12656","","Recherche d'appartement sur le site Foncia","","","","Recherche d'un appartement à louer à Paris avec un loyer MAX ""1500""€",""
"passed","Tue Jan 02 09:43:30 GMT 2024","Tue Jan 02 09:43:42 GMT 2024","11416","","Recherche d'appartement sur le site Foncia","","","","Vérification des éléments de la page d'accueil",""
