"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 09:57:50 GMT 2024","Tue Jan 02 09:58:02 GMT 2024","12286","","Recherche d'appartement sur le site Foncia","","","","Vérification des éléments de la page d'accueil",""
"passed","Tue Jan 02 09:58:02 GMT 2024","Tue Jan 02 09:58:14 GMT 2024","11730","","Recherche d'appartement sur le site Foncia","","","","Recherche d'un appartement à louer à Paris avec un loyer MAX ""1500""€",""
